15_PF00004_10	134	0.8955	0.0000	0.0000	0.0000	0.0026	0.0000	0.0016	0.1685	0.0000	0.0047	0.3366	22436	0.2627	1.0696	7.8130e+02	1.0668	0.018	1125	0.0952	0.0370	836.0	0.8333	1.7182	bad
15_PF00004_11	131	0.7023	0.0076	0.0252	0.0525	0.0840	0.0767	0.1442	0.2017	0.1153	0.1879	0.3022	56084	0.3254	2.6669	1.7977e+02	2.6361	0.022	1205	0.2083	0.1218	988.0	0.5000	1.5796	bad
15_PF00004_12	165	0.0364	0.2909	0.0153	0.0304	0.0559	0.0387	0.0891	0.1229	0.0956	0.1591	0.2396	354400	0.3683	3.1547	1.4721e+00	0.6925	0.025	1194	3.3262	1.4639	1016.0	0.4167	1.3939	n
15_PF00004_13	136	0.8015	0.0000	0.0301	0.0463	0.0796	0.0583	0.0954	0.1633	0.0788	0.1387	0.2245	66102	0.2966	2.2390	2.2984e+02	2.2201	0.020	1236	0.1672	0.0987	1063.0	0.0833	0.5855	good
15_PF00004_14	144	0.2986	0.1667	0.0126	0.0239	0.0428	0.0425	0.0778	0.1507	0.1147	0.1981	0.3425	109422	0.3619	1.6598	1.7715e+01	1.6232	0.024	1132	0.6738	0.3061	1002.0	0.4167	1.3939	n
15_PF00004_15	134	0.7761	0.0448	0.0032	0.0502	0.1175	0.1404	0.2029	0.3460	0.1332	0.2475	0.4097	23967	0.3723	5.6527	1.7277e+03	5.6409	0.025	1044	0.1647	0.0572	822.0	0.5833	1.7995	bad
15_PF00004_16	134	0.7687	0.0000	0.0004	0.0062	0.0374	0.0028	0.0558	0.1098	0.0144	0.1761	0.3721	87109	0.2374	0.8734	8.2969e+01	0.8595	0.016	1192	0.1787	0.1026	954.0	0.5000	1.9124	bad
15_PF00004_17	170	0.2412	0.1529	0.0144	0.0269	0.0482	0.0350	0.0673	0.1153	0.0921	0.1626	0.2464	161451	0.3957	0.9556	4.2105e+00	0.7419	0.026	1210	0.9611	0.4764	1077.0	0.2500	0.8047	good
15_PF00004_18	137	0.4307	0.1387	0.0178	0.0310	0.0522	0.0323	0.0660	0.1074	0.0816	0.1467	0.2178	214042	0.3018	1.1098	9.7662e+00	1.0218	0.020	1302	0.5556	0.3371	1121.0	0.0833	0.6901	good
15_PF00004_1	128	0.3594	0.1172	0.0149	0.0260	0.0427	0.0450	0.0887	0.1883	0.1161	0.2390	0.4598	178792	0.3199	1.2996	9.4216e+00	1.2087	0.021	1312	0.5889	0.3714	1020.0	0.4167	1.2267	n
15_PF00004_2	136	0.6691	0.0147	0.0155	0.0373	0.0723	0.0584	0.1219	0.1933	0.0959	0.1781	0.2737	107993	0.3196	1.4712	4.7711e+01	1.4172	0.021	1246	0.3013	0.1756	1124.0	0.0833	0.7171	good
15_PF00004_3	131	0.6794	0.1679	0.0003	0.0026	0.0346	0.0808	0.1653	0.2520	0.0861	0.2369	0.4276	12404	0.3635	1.8444	8.2092e+02	1.8396	0.024	1063	0.1467	0.0474	923.0	0.6667	1.6213	bad
15_PF00004_4	134	0.8433	0.0000	0.0048	0.0157	0.0558	0.0613	0.1068	0.2537	0.0753	0.2556	0.7480	34230	0.2730	1.3336	3.7924e+02	1.3276	0.018	1197	0.1276	0.0593	948.0	0.5000	1.7835	bad
15_PF00004_5	134	0.8507	0.0000	0.0000	0.0006	0.0082	0.0005	0.0713	0.1262	0.0009	0.1199	0.3680	25690	0.2926	1.0193	3.8732e+02	1.0170	0.020	1171	0.1224	0.0513	879.0	0.5833	1.8153	bad
15_PF00004_6	142	0.2606	0.2746	0.0217	0.0378	0.0600	0.0452	0.0765	0.1476	0.0941	0.1469	0.2367	216278	0.3383	1.3007	5.4685e+00	1.0354	0.023	1256	0.8306	0.4877	1094.0	0.0000	0.0000	good
15_PF00004_7	134	0.7239	0.0224	0.0073	0.0272	0.0468	0.0490	0.0906	0.1696	0.1052	0.2355	0.4096	67683	0.2543	2.1067	1.7830e+02	2.0965	0.017	1251	0.2197	0.1087	1090.0	0.5833	2.1909	bad
15_PF00004_8	132	0.5682	0.0076	0.0200	0.0369	0.0606	0.0390	0.0704	0.1255	0.0777	0.1405	0.2241	77664	0.3652	2.0983	5.8309e+01	2.0494	0.024	1178	0.3736	0.1897	848.0	0.5833	1.5614	bad
15_PF00004_9	138	0.5145	0.0942	0.0193	0.0377	0.0622	0.0587	0.1072	0.1916	0.1002	0.1934	0.3366	53734	0.3963	1.5289	7.4454e+01	1.5075	0.026	1092	0.4173	0.1433	916.0	0.4167	1.4343	n
15_PF00005_10	150	0.3933	0.0000	0.0168	0.0328	0.0524	0.0558	0.0978	0.1522	0.1185	0.2025	0.3131	178048	0.3488	0.8521	5.7968e+00	0.7276	0.023	1214	0.6422	0.3834	1049.0	0.0833	0.6473	good
15_PF00005_11	163	0.2699	0.0123	0.0179	0.0319	0.0491	0.0315	0.0567	0.0906	0.0719	0.1297	0.2035	255064	0.3606	0.8671	2.8488e+00	0.6836	0.024	1276	0.7415	0.5517	1052.0	0.6667	2.0748	bad
15_PF00005_12	246	0.3902	0.0691	0.0134	0.0234	0.0362	0.0262	0.0478	0.0804	0.0854	0.1499	0.2311	310317	0.2960	0.5956	5.4035e+00	0.5595	0.020	1260	0.7286	0.3320	1103.0	0.3333	1.4075	n
15_PF00005_13	257	0.1907	0.4864	0.0199	0.0376	0.0575	0.0457	0.0752	0.1198	0.0960	0.1546	0.2190	157974	0.3716	1.4268	1.4047e+01	1.3287	0.025	1230	0.8098	0.3187	1070.0	0.3333	1.5244	n
15_PF00005_1	136	0.4485	0.0147	0.0200	0.0416	0.0721	0.0375	0.0693	0.1240	0.0638	0.1261	0.1959	120812	0.3365	1.7814	1.9125e+01	1.6714	0.022	1151	0.7198	0.3052	1021.0	0.2500	1.1127	good
15_PF00005_2	132	0.3864	0.0000	0.0225	0.0390	0.0631	0.0565	0.0938	0.1461	0.0990	0.1692	0.2604	112320	0.3696	1.2194	1.1587e+01	1.1476	0.025	1141	0.6584	0.3244	1027.0	0.5000	1.5736	bad
15_PF00005_3	241	0.1826	0.3527	0.0215	0.0405	0.0630	0.0415	0.0824	0.1239	0.0792	0.1376	0.2097	243438	0.3972	1.1444	4.6971e+00	0.9134	0.026	1154	0.7448	0.4936	998.0	0.4167	1.1547	n
15_PF00005_4	215	0.3488	0.1535	0.0194	0.0348	0.0543	0.0399	0.0688	0.1175	0.0867	0.1471	0.2091	212252	0.3616	1.3607	1.0755e+01	1.1721	0.024	1247	0.7672	0.3557	1108.0	0.2500	1.0142	good
15_PF00005_5	155	0.4516	0.0194	0.0147	0.0269	0.0416	0.0344	0.0582	0.0910	0.0970	0.1613	0.2331	211700	0.3321	0.7117	5.1457e+00	0.6249	0.022	1140	0.5892	0.3719	1007.0	0.3333	1.6095	n
15_PF00005_6	165	0.0848	0.1939	0.0181	0.0345	0.0546	0.0481	0.0794	0.1198	0.0990	0.1717	0.2474	276698	0.3886	1.2425	1.9536e+00	0.7606	0.026	1263	2.1857	0.7975	1114.0	0.6667	1.8205	bad
15_PF00005_7	152	0.4868	0.0066	0.0187	0.0355	0.0558	0.0509	0.0833	0.1299	0.1015	0.1726	0.2402	190605	0.3157	1.3894	1.3082e+01	1.2914	0.021	1182	0.5744	0.3259	986.0	0.3333	1.2724	good
